num_of_agents,num_of_items,agent_capacity,item_capacity,max_value,normalized_sum_of_values,algorithm,instance_id,matching_size,runtime
10,10,1,2,1000,1000,many_to_many_matching_using_network_flow,2,10,0.006743499999999791
10,10,1,2,1000,1000,many_to_many_matching_using_network_flow,3,10,0.006956100000000021
10,10,1,2,1000,1000,many_to_many_matching_using_network_flow,4,10,0.009285699999999952
10,10,1,2,1000,1000,many_to_many_matching_using_node_cloning,0,10,0.014978900000000017
10,10,1,2,1000,1000,many_to_many_matching_using_node_cloning,1,10,0.013160599999999967
10,10,1,2,1000,1000,many_to_many_matching_using_node_cloning,2,10,0.013027399999999911
10,10,1,2,1000,1000,many_to_many_matching_using_node_cloning,3,10,0.01492760000000004
10,10,1,2,1000,1000,many_to_many_matching_using_node_cloning,4,10,0.011648499999999729
10,10,1,4,10,1000,many_to_many_matching_using_network_flow,0,10,0.0055235000000002366
10,10,1,4,10,1000,many_to_many_matching_using_network_flow,1,10,0.00561820000000024
10,10,1,4,10,1000,many_to_many_matching_using_network_flow,2,10,0.005228100000000069
10,10,1,4,10,1000,many_to_many_matching_using_network_flow,3,10,0.006379200000000029
10,10,1,4,10,1000,many_to_many_matching_using_network_flow,4,10,0.0072994000000004
10,10,1,4,10,1000,many_to_many_matching_using_node_cloning,0,10,0.024401399999999906
10,10,1,4,10,1000,many_to_many_matching_using_node_cloning,1,10,0.027304899999999854
10,10,1,4,10,1000,many_to_many_matching_using_node_cloning,2,10,0.022952500000000153
10,10,1,4,10,1000,many_to_many_matching_using_node_cloning,3,10,0.02045129999999995
10,10,1,4,10,1000,many_to_many_matching_using_node_cloning,4,10,0.027727500000000127
10,10,1,4,100,1000,many_to_many_matching_using_network_flow,0,10,0.006393899999999952
10,10,1,4,100,1000,many_to_many_matching_using_network_flow,1,10,0.006051699999999993
10,10,1,4,100,1000,many_to_many_matching_using_network_flow,2,10,0.00955130000000004
10,10,1,4,100,1000,many_to_many_matching_using_network_flow,3,10,0.006188799999999883
10,10,1,4,100,1000,many_to_many_matching_using_network_flow,4,10,0.005383700000000324
10,10,1,4,100,1000,many_to_many_matching_using_node_cloning,0,10,0.025674100000000255
10,10,1,4,100,1000,many_to_many_matching_using_node_cloning,1,10,0.02729310000000007
10,10,1,4,100,1000,many_to_many_matching_using_node_cloning,2,10,0.023069899999999866
10,10,1,4,100,1000,many_to_many_matching_using_node_cloning,3,10,0.03192750000000011
10,10,1,4,100,1000,many_to_many_matching_using_node_cloning,4,10,0.02221099999999998
10,10,1,4,1000,1000,many_to_many_matching_using_network_flow,0,10,0.006814600000000226
10,10,1,4,1000,1000,many_to_many_matching_using_network_flow,1,10,0.005550000000000388
10,10,1,4,1000,1000,many_to_many_matching_using_network_flow,2,10,0.0059141999999994255
10,10,1,4,1000,1000,many_to_many_matching_using_network_flow,3,10,0.0054312000000003025
10,10,1,4,1000,1000,many_to_many_matching_using_network_flow,4,10,0.01595110000000055
10,10,1,4,1000,1000,many_to_many_matching_using_node_cloning,0,10,0.023035700000000325
10,10,1,4,1000,1000,many_to_many_matching_using_node_cloning,1,10,0.036872200000000355
10,10,1,4,1000,1000,many_to_many_matching_using_node_cloning,2,10,0.03788140000000073
10,10,1,4,1000,1000,many_to_many_matching_using_node_cloning,3,10,0.023751799999999434
10,10,1,4,1000,1000,many_to_many_matching_using_node_cloning,4,10,0.01932630000000035
10,10,1,8,10,1000,many_to_many_matching_using_network_flow,0,10,0.006334300000000681
10,10,1,8,10,1000,many_to_many_matching_using_network_flow,1,10,0.006719400000000597
10,10,1,8,10,1000,many_to_many_matching_using_network_flow,2,10,0.006795499999999954
10,10,1,8,10,1000,many_to_many_matching_using_network_flow,3,10,0.010208200000000112
10,10,1,8,10,1000,many_to_many_matching_using_network_flow,4,10,0.005350000000000854
10,10,1,8,10,1000,many_to_many_matching_using_node_cloning,0,10,0.058130799999999816
10,10,1,8,10,1000,many_to_many_matching_using_node_cloning,1,10,0.05849400000000049
10,10,1,8,10,1000,many_to_many_matching_using_node_cloning,2,10,0.040101500000000456
10,10,1,8,10,1000,many_to_many_matching_using_node_cloning,3,10,0.05582219999999971
10,10,1,8,10,1000,many_to_many_matching_using_node_cloning,4,10,0.053224600000000066
10,10,1,8,100,1000,many_to_many_matching_using_network_flow,0,10,0.006222100000000452
10,10,1,8,100,1000,many_to_many_matching_using_network_flow,1,10,0.010522800000000387
10,10,1,8,100,1000,many_to_many_matching_using_network_flow,2,10,0.006169199999999542
10,10,1,8,100,1000,many_to_many_matching_using_network_flow,3,10,0.015415600000000751
10,10,1,8,100,1000,many_to_many_matching_using_network_flow,4,10,0.0064437999999995554
10,10,1,8,100,1000,many_to_many_matching_using_node_cloning,0,10,0.05772699999999986
10,10,1,8,100,1000,many_to_many_matching_using_node_cloning,1,10,0.06286040000000082
10,10,1,8,100,1000,many_to_many_matching_using_node_cloning,2,10,0.048086700000000704
10,10,1,8,100,1000,many_to_many_matching_using_node_cloning,3,10,0.06212359999999961
10,10,1,8,100,1000,many_to_many_matching_using_node_cloning,4,10,0.04597609999999985
10,10,1,8,1000,1000,many_to_many_matching_using_network_flow,0,10,0.006735299999999889
10,10,1,8,1000,1000,many_to_many_matching_using_network_flow,1,10,0.006963100000000111
10,10,1,8,1000,1000,many_to_many_matching_using_network_flow,2,10,0.005379700000000653
10,10,1,8,1000,1000,many_to_many_matching_using_network_flow,3,10,0.005176899999999485
10,10,1,8,1000,1000,many_to_many_matching_using_network_flow,4,10,0.0061437999999993664
10,10,1,8,1000,1000,many_to_many_matching_using_node_cloning,0,10,0.04481439999999992
10,10,1,8,1000,1000,many_to_many_matching_using_node_cloning,1,10,0.04590810000000012
10,10,1,8,1000,1000,many_to_many_matching_using_node_cloning,2,10,0.04513950000000033
10,10,1,8,1000,1000,many_to_many_matching_using_node_cloning,3,10,0.04492800000000052
10,10,1,8,1000,1000,many_to_many_matching_using_node_cloning,4,10,0.04628290000000046
10,10,1,16,10,1000,many_to_many_matching_using_network_flow,0,10,0.00500070000000008
10,10,1,16,10,1000,many_to_many_matching_using_network_flow,1,10,0.004886100000000226
10,10,1,16,10,1000,many_to_many_matching_using_network_flow,2,10,0.0049879999999999924
10,10,1,16,10,1000,many_to_many_matching_using_network_flow,3,10,0.00747859999999978
10,10,1,16,10,1000,many_to_many_matching_using_network_flow,4,10,0.012761700000000431
10,10,1,16,10,1000,many_to_many_matching_using_node_cloning,0,10,0.08946960000000015
10,10,1,16,10,1000,many_to_many_matching_using_node_cloning,1,10,0.06652300000000011
10,10,1,16,10,1000,many_to_many_matching_using_node_cloning,2,10,0.07933540000000061
10,10,1,16,10,1000,many_to_many_matching_using_node_cloning,3,10,0.07220320000000058
10,10,1,16,10,1000,many_to_many_matching_using_node_cloning,4,10,0.0804090000000004
10,10,1,16,100,1000,many_to_many_matching_using_network_flow,0,10,0.004830600000000018
10,10,1,16,100,1000,many_to_many_matching_using_network_flow,1,10,0.005182599999999482
10,10,1,16,100,1000,many_to_many_matching_using_network_flow,2,10,0.004980600000000557
10,10,1,16,100,1000,many_to_many_matching_using_network_flow,3,10,0.005481999999999765
10,10,1,16,100,1000,many_to_many_matching_using_network_flow,4,10,0.008307900000000146
10,10,1,16,100,1000,many_to_many_matching_using_node_cloning,0,10,0.08313740000000003
10,10,1,16,100,1000,many_to_many_matching_using_node_cloning,1,10,0.1205343000000001
10,10,1,16,100,1000,many_to_many_matching_using_node_cloning,2,10,0.11694230000000072
10,10,1,16,100,1000,many_to_many_matching_using_node_cloning,3,10,0.08948420000000024
10,10,1,16,100,1000,many_to_many_matching_using_node_cloning,4,10,0.09260919999999917
10,10,1,16,1000,1000,many_to_many_matching_using_network_flow,0,10,0.005751899999999921
10,10,1,16,1000,1000,many_to_many_matching_using_network_flow,1,10,0.0054674999999999585
10,10,1,16,1000,1000,many_to_many_matching_using_network_flow,2,10,0.006135800000000025
